Creator,Name only,page url,text,citations,Ref count,nb_journal_citations,journalcitation,citation org,citationorgtext,citation gov,citationgovtext,citation IPCC,citation com,citationcomtext,citationipbes,citationguardian,citationautre,org count,gov count,com count,Sci count,IPCC count,percentage of official sources,number of article created by creator,Page id,Edit protection,Page lenght (Bytes),DOB,Total edits,Recent edits,Formated DOB,Year_month,Year,unique_references_xtools
Rd232 ,Effects of climate change,https://en.wikipedia.org/wiki/Effects_of_climate_change,"{{short description|Effects created by climate change}}
{{For|effects of changes in climate prior to the current period of global warming|Historical climatology}}
{{Use dmy dates|date=February 2022}}
{{Pp-semi-protected|small=yes}}
<noinclude>{{multiple image
| perrow            = 2
| total_width       = 400
| image1            = 062821Yreka Fire CalFire -2wiki.jpg
| alt1              = Thick orange-brown smoke blocks half a blue sky, with conifers in the foreground
| image2            = Bleachedcoral.jpg
| alt2              = A few grey fish swim over grey coral with white spikes
| image3            = Village Telly in Mali.jpg
| alt3              = Desert sand half covers a village of small flat-roofed houses with scattered green trees
| image4            = US Navy 071120-M-8966H-005 An aerial view over southern Bangladesh reveals extensive flooding as a result of Cyclone Sidr.jpg
| alt4              = large areas of still water behind riverside buildings
| footer            = Some climate change effects, clockwise from top left: [[Wildfire]] caused by heat and dryness, [[Coral bleaching|bleached coral]] caused by ocean acidification and heating, [[coastal flooding]] caused by storms and sea level rise, and [[environmental migration]] caused by [[desertification]]
}}
[[File:20200118 Global warming and climate change - vertical block diagram - causes effects feedback.svg |thumb|right|upright=1.5| The primary [[Attribution of recent climate change|causes]]<ref name=""NASA_2019"">
{{cite web
 | title=The Causes of Climate Change
 | url=https://climate.nasa.gov/causes/
 | website=climate.nasa.gov
 | publisher=NASA
 | archive-url=https://web.archive.org/web/20191221010331/https://climate.nasa.gov/causes/
 | archive-date=2019-12-21
 | url-status=live
 | ref={{harvid | NASA: The Causes of Climate Change | 2019}}
}}
</ref> and the wide-ranging impacts<ref name=NCA4_2017_a>
{{cite web
 | title=Climate Science Special Report / Fourth National Climate Assessment (NCA4), Volume I
 | url=https://science2017.globalchange.gov/
 | website=science2017.globalchange.gov
 | publisher=U.S. Global Change Research Program
 | archive-url=https://web.archive.org/web/20191214141932/https://science2017.globalchange.gov/
 | archive-date=2019-12-14
 | url-status=live
 | ref={{harvid | NCA4: Climate Science Special Report | 2017 | volume=I}}
}}
</ref><ref name=IPCC_Summary_2019>
{{cite web
 | title=Summary for Policymakers
 | url=https://www.ipcc.ch/site/assets/uploads/sites/3/2019/11/03_SROCC_SPM_FINAL.pdf
 | website=ipcc.ch
 | publisher=Intergovernmental Panel on Climate Change
 | archive-url=https://web.archive.org/web/20200101021958/https://www.ipcc.ch/site/assets/uploads/sites/3/2019/11/03_SROCC_SPM_FINAL.pdf
 | archive-date=2020-01-01
 | date=2019
 | url-status=live
 | ref={{harvid | IPCC: Summary for Policymakers | p=6 | 2019}}
}}
</ref> of global warming and climate change. Some effects act as feedbacks that intensify climate change.<ref name=NASA_2016>
{{cite web
 | title=The Study of Earth as an Integrated System
 | url=https://climate.nasa.gov/nasa_science/science/
 | website=nasa.gov
 | publisher=NASA
 | date=2016
 | archive-url=https://web.archive.org/web/20161102022200/https://climate.nasa.gov/nasa_science/science/
 | archive-date=2016-11-02
 | url-status=live
 | ref={{harvid | NASA: The Study of Earth as an Integrated System | 2016}}
}}
</ref>]]
</noinclude>
The '''effects of climate change''' span the impacts on [[physical environment]], [[ecosystems]] and human societies due to ongoing human-caused [[climate change]]. The future impact of climate change depends on how much nations reduce [[greenhouse gas emissions]] and [[Climate change adaptation|adapt]] to climate change.<ref name=""adaptation and mitigation"">Oppenheimer, M., ''et al.'', ''Section 19.7.1: Relationship between Adaptation Efforts, Mitigation Efforts, and Residual Impacts,'' in: [http://ipcc-wg2.gov/AR5/images/uploads/WGIIAR5-Chap19_FINAL.pdf Chapter 19: Emergent risks and key vulnerabilities] (archived [https://web.archive.org/web/20141020014746/http://ipcc-wg2.gov/AR5/images/uploads/WGIIAR5-Chap19_FINAL.pdf 20 October 2014]), pp.1080–1085, in {{harvnb|IPCC AR5 WG2 A|2014}}
</ref><ref>Oppenheimer, M., ''et al.'', ''Section 19.6.2.2. The Role of Adaptation and Alternative Development Pathways,'' in: [http://ipcc-wg2.gov/AR5/images/uploads/WGIIAR5-Chap19_FINAL.pdf Chapter 19: Emergent risks and key vulnerabilities] (archived [https://web.archive.org/web/20141020014746/http://ipcc-wg2.gov/AR5/images/uploads/WGIIAR5-Chap19_FINAL.pdf 20 October 2014]), pp.1072–1073, in {{harvnb|IPCC AR5 WG2 A|2014}}</ref> Effects that scientists predicted in the past—loss of sea ice, accelerated [[sea level rise]] and longer, more intense [[Heat wave|heat waves]]—are now occurring.<ref>{{Cite web |title=The Effects of Climate Change |url=https://climate.nasa.gov/effects |website=NASA.gov |archive-url=https://web.archive.org/web/20220221091306/https://climate.nasa.gov/effects/ |archive-date=21 February 2022 |url-status=live }}</ref> The changes in climate are not expected to be uniform across the Earth. In particular, land areas change more quickly than oceans, and northern high latitudes change more quickly than the [[tropics]]. There are three major ways in which global warming will make changes to regional climate: melting ice, changing the [[hydrological cycle]] (of evaporation and precipitation) and changing [[Ocean current|currents in the oceans]].

Physical changes include [[extreme weather]], [[Retreat of glaciers since 1850|glacier retreat]], sea level rise, [[Arctic sea ice decline|declines in Arctic sea ice]], and changes in the timing of seasonal events (such as earlier spring flowering). Since 1970, the ocean has absorbed more than 90% of the [[ocean heat content|excess heat]] in the climate system. Even if global surface temperature is stabilized, sea levels will continue to rise and the ocean will continue to absorb excess heat from the atmosphere for many centuries.<ref name=""ReferenceA"" /> The uptake of [[Carbon dioxide in Earth's atmosphere|carbon dioxide from the atmosphere]] is leading to [[ocean acidification]].<ref name=""ReferenceA"">{{cite book|title=IPCC SROCC Summary for Policymakers|year=2019|page=9}}</ref>

Climate change has [[land degradation|degraded land]] by raising temperatures, [[Water scarcity|drying soils]] and increasing [[wildfire]] risk.<ref name=""ReferenceB"">{{cite book|title=IPCC SRCCL Summary for Policymakers|year=2019|page=9}}</ref> Recent warming has strongly affected natural biological systems.<ref name=""rosenzweig observed impacts"" /> Species worldwide are migrating poleward to colder areas. On land, species move to higher elevations, whereas marine species find colder water at greater depths.<ref name="":8"" /> Between 1% and 50% of species on land were assessed to be at substantially higher risk of [[extinction]] due to climate change.<ref name="":1"" /> Coral reefs and shellfish are vulnerable to the combined threat of ocean warming and acidification.<ref name="":14"" />

[[Food security]] and access to fresh water are at risk due to rising temperatures. Climate change has profound impacts on human health, directly via heat stress and indirectly via the spread of infectious diseases. 

