,Name only,page url,Ref count,nb_journal_citations,Sci count,Page id,Edit protection,Page lenght (Bytes),DOB,Creator,Total edits,Recent edits,Formated DOB,Year_month,Year
0,CRISPR,https://en.wikipedia.org/wiki/CRISPR,207,192,0.927536231884058,2146034,Allow all users (no expiry set),134277,30 June 2005,192.207.234.194 ,2175,0,2005-06-30,2005-06,2005
1,CRISPR gene editing,https://en.wikipedia.org/wiki/CRISPR_gene_editing,188,121,0.6436170212765957,59990826,Allow all users (no expiry set),109614,17 February 2019,Helito ,292,7,2019-02-17,2019-02,2019
2,Anti-CRISPR,https://en.wikipedia.org/wiki/Anti-CRISPR,31,28,0.9032258064516129,62006882,Allow all users (no expiry set),33344,8 October 2019,BQUB19-RGorchs ,100,0,2019-10-08,2019-10,2019
3,CRISPR Therapeutics,https://en.wikipedia.org/wiki/CRISPR_Therapeutics,12,1,0.08333333333333333,66323247,Allow all users (no expiry set),6184,8 January 2021,Afus199620 ,37,0,2021-01-08,2021-01,2021
4,The CRISPR Journal,https://en.wikipedia.org/wiki/The_CRISPR_Journal,0,0,,64323695,Allow all users (no expiry set),1709,19 June 2020,Alx bio ,11,0,2020-06-19,2020-06,2020
5,CRISPR activation,https://en.wikipedia.org/wiki/CRISPR_activation,18,16,0.8888888888888888,55410471,Allow all users (no expiry set),22340,1 October 2017,Mjlink ,140,1,2017-10-01,2017-10,2017
6,CRISPR interference,https://en.wikipedia.org/wiki/CRISPR_interference,27,27,1.0,41992525,Allow all users (no expiry set),26771,20 July 2010,James atmos ,209,1,2010-07-20,2010-07,2010
7,CRISPR/Cas Tools,https://en.wikipedia.org/wiki/CRISPR/Cas_Tools,25,23,0.92,45313845,Allow all users (no expiry set),15516,5 February 2015,Cmvp ,114,0,2015-02-05,2015-02,2015
8,Genome-wide CRISPR-Cas9 knockout screens,https://en.wikipedia.org/wiki/Genome-wide_CRISPR-Cas9_knockout_screens,77,74,0.961038961038961,63202233,Allow all users (no expiry set),56384,25 February 2020,Peter.Grant.ubc ,170,0,2020-02-25,2020-02,2020
9,CRISPR/Cas12a,https://en.wikipedia.org/wiki/CRISPR/Cas12a,13,6,0.46153846153846156,48343282,Allow all users (no expiry set),12442,24 October 2015,Lfstevens ,91,1,2015-10-24,2015-10,2015
10,CRISPR-Display,https://en.wikipedia.org/wiki/CRISPR-Display,5,5,1.0,53354629,Allow all users (no expiry set),16410,2 March 2017,Krisje1988 ,26,1,2017-03-02,2017-03,2017
11,Jennifer Doudna,https://en.wikipedia.org/wiki/Jennifer_Doudna,85,7,0.08235294117647059,36836014,Allow all users (no expiry set),47422,26 August 2012,Chrisvanlang ,651,4,2012-08-26,2012-08,2012
12,Cas9,https://en.wikipedia.org/wiki/Cas9,41,39,0.9512195121951219,38570862,Allow all users (no expiry set),39189,19 February 2013,Johansosa ,339,0,2013-02-19,2013-02,2013
13,Emmanuelle Charpentier,https://en.wikipedia.org/wiki/Emmanuelle_Charpentier,83,6,0.07228915662650602,47056521,Allow all users (no expiry set),39956,23 June 2015,Anka0053 ,493,2,2015-06-23,2015-06,2015
14,Genome editing,https://en.wikipedia.org/wiki/Genome_editing,101,61,0.6039603960396039,34930586,Allow all users (no expiry set),77853,1 March 2012,Seahorsechipmunk ,559,2,2012-03-01,2012-03,2012
15,Guide RNA,https://en.wikipedia.org/wiki/Guide_RNA,10,10,1.0,4765320,Allow all users (no expiry set),16236,16 April 2006,TedE ,102,0,2006-04-16,2006-04,2006
16,Francisco Mojica,https://en.wikipedia.org/wiki/Francisco_Mojica,28,20,0.7142857142857143,54066341,Allow all users (no expiry set),19989,17 May 2017,Advait2163 ,89,0,2017-05-17,2017-05,2017
17,Designer baby,https://en.wikipedia.org/wiki/Designer_baby,97,43,0.44329896907216493,1708182,Allow all users (no expiry set),70573,8 April 2005,Fastfission ,1807,8,2005-04-08,2005-04,2005
18,Perturb-seq,https://en.wikipedia.org/wiki/Perturb-seq,15,12,0.8,53353992,Allow all users (no expiry set),18832,2 March 2017,Sdlee94 ,75,1,2017-03-02,2017-03,2017
19,Human germline engineering,https://en.wikipedia.org/wiki/Human_germline_engineering,65,26,0.4,53827714,Allow all users (no expiry set),56357,20 April 2017,JakeGajdzik ,197,8,2017-04-20,2017-04,2017
20,Genetic screen,https://en.wikipedia.org/wiki/Genetic_screen,14,12,0.8571428571428571,340952,Allow all users (no expiry set),18670,15 October 2003,168... ,200,0,2003-10-15,2003-10,2003
21,Locus Biosciences,https://en.wikipedia.org/wiki/Locus_Biosciences,24,10,0.4166666666666667,60171936,Allow all users (no expiry set),15188,8 March 2019,Akrasia25 ,51,1,2019-03-08,2019-03,2019
22,Off-target genome editing,https://en.wikipedia.org/wiki/Off-target_genome_editing,65,63,0.9692307692307692,56710049,Allow all users (no expiry set),53333,28 February 2018,Michael.vermeulen0 ,138,0,2018-02-28,2018-02,2018
23,Gene drive,https://en.wikipedia.org/wiki/Gene_drive,69,25,0.36231884057971014,43335980,Allow all users (no expiry set),45306,18 July 2014,Lfstevens ,390,6,2014-07-18,2014-07,2014
24,Genetic engineering techniques,https://en.wikipedia.org/wiki/Genetic_engineering_techniques,75,43,0.5733333333333334,37319629,Allow all users (no expiry set),55923,14 October 2012,Aircorn ,259,0,2012-10-14,2012-10,2012
25,Gene knockdown,https://en.wikipedia.org/wiki/Gene_knockdown,21,17,0.8095238095238095,446223,Allow all users (no expiry set),13738,29 January 2004,168... ,180,1,2004-01-29,2004-01,2004
26,Germline mutation,https://en.wikipedia.org/wiki/Germline_mutation,34,19,0.5588235294117647,1150680,Allow all users (no expiry set),23787,9 November 2004,Larsie ,111,0,2004-11-09,2004-11,2004
27,Virginijus Šikšnys,https://en.wikipedia.org/wiki/Virginijus_%C5%A0ik%C5%A1nys,16,5,0.3125,49186682,Allow all users (no expiry set),12652,22 January 2016,Gie2016 ,66,1,2016-01-22,2016-01,2016
28,Functional genomics,https://en.wikipedia.org/wiki/Functional_genomics,27,22,0.8148148148148148,1053858,Allow all users (no expiry set),31327,10 October 2004,PDH ,238,0,2004-10-10,2004-10,2004
29,Biotechnology risk,https://en.wikipedia.org/wiki/Biotechnology_risk,25,8,0.32,50033811,Allow all users (no expiry set),15386,3 April 2016,Simfish ,84,0,2016-04-03,2016-04,2016
30,Gene knockout,https://en.wikipedia.org/wiki/Gene_knockout,9,7,0.7777777777777778,89242,Allow all users (no expiry set),12957,22 September 2002,Axel Driken ,239,0,2002-09-22,2002-09,2002
31,Insert (molecular biology),https://en.wikipedia.org/wiki/Insert_(molecular_biology),18,16,0.8888888888888888,14677231,Allow all users (no expiry set),11184,12 December 2007,Im99k ,19,0,2007-12-12,2007-12,2007
