,Name only,page url,Ref count,nb_journal_citations,citation org,citation gov,citation IPCC,citation com,citationipbes,citationguardian,org score,gov score,com score,Sci score,IPCC score,percentage of official sources,Page id,Edit protection,Page lenght (Bytes),DOB,Creator,Total edits,Recent edits,Formated DOB,Year_month,Year
913699,,,,,,,,,,Average on the corpus,0.1661930692,0.1022961428,0.2173163424,0.2086695929,0.01632343583,,,,,,,,,,,
,,,,,,,,,,Median on the corpus,0.1317597363,0.04454365079,0.1666666667,0.125,0,,,,,,,,,,,
0,Effects of climate change,https://en.wikipedia.org/wiki/Effects_of_climate_change,252,58,27,24,95,22,2,10,0.1071428571,0.09523809524,0.0873015873,0.2301587302,0.376984127,0.8174603175,2119174,Require autoconfirmed or confirmed access (no expiry set),186247,26 June 2005,Rd232,5537,19,2005-06-26,2005-06,2005
1,Effects of climate change on agriculture,https://en.wikipedia.org/wiki/Effects_of_climate_change_on_agriculture,142,51,21,3,19,16,0,1,0.1478873239,0.02112676056,0.1126760563,0.3591549296,0.1338028169,0.661971831,47512577,Allow all users (no expiry set),115429,13 August 2015,Jarble,285,119,2015-08-13,2015-08,2015
2,Effects of climate change on human health,https://en.wikipedia.org/wiki/Effects_of_climate_change_on_human_health,111,56,17,7,8,14,0,3,0.1531531532,0.06306306306,0.1261261261,0.5045045045,0.07207207207,0.7927927928,37063005,Allow all users (no expiry set),91158,19 September 2012,Ppowers29,1117,27,2012-09-19,2012-09,2012
3,Effects of climate change on oceans,https://en.wikipedia.org/wiki/Effects_of_climate_change_on_oceans,121,66,14,3,9,9,0,1,0.1157024793,0.02479338843,0.07438016529,0.5454545455,0.07438016529,0.7603305785,35895879,Allow all users (no expiry set),97693,21 May 2012,Antblasko,539,12,2012-05-21,2012-05,2012
4,Effects of climate change on ecosystems,https://en.wikipedia.org/wiki/Effects_of_climate_change_on_ecosystems,86,49,8,3,5,8,0,1,0.09302325581,0.03488372093,0.09302325581,0.5697674419,0.05813953488,0.7558139535,26515241,Allow all users (no expiry set),59187,11 March 2010,Enescot,398,26,2010-03-11,2010-03,2010
5,Climate change,https://en.wikipedia.org/wiki/Climate_change,606,114,28,16,154,8,0,15,0.04620462046,0.02640264026,0.01320132013,0.1881188119,0.2541254125,0.5148514851,5042951,Require administrator access (no expiry set),272718,30 October 2001,Zundark,25750,45,2001-10-30,2001-10,2001
6,Effects of climate change on mental health,https://en.wikipedia.org/wiki/Effects_of_climate_change_on_mental_health,43,34,3,0,0,2,0,1,0.06976744186,0,0.04651162791,0.7906976744,0,0.8604651163,47512587,Allow all users (no expiry set),42797,13 August 2015,Jarble,12,8,2015-08-13,2015-08,2015
7,Effects of climate change on plant biodiversity,https://en.wikipedia.org/wiki/Effects_of_climate_change_on_plant_biodiversity,60,41,3,3,0,1,0,0,0.05,0.05,0.01666666667,0.6833333333,0,0.7833333333,19928041,Allow all users (no expiry set),43400,25 October 2008,Tom4216697,543,10,2008-10-25,2008-10,2008
8,Climate change in Australia,https://en.wikipedia.org/wiki/Climate_change_in_Australia,179,19,16,34,3,31,0,9,0.08938547486,0.1899441341,0.1731843575,0.1061452514,0.01675977654,0.4022346369,14329297,Allow all users (no expiry set),135992,20 November 2007,Mac,930,4,2007-11-20,2007-11,2007
9,Effects of climate change on terrestrial animals,https://en.wikipedia.org/wiki/Effects_of_climate_change_on_terrestrial_animals,67,47,4,1,1,8,0,0,0.05970149254,0.01492537313,0.1194029851,0.7014925373,0.01492537313,0.7910447761,31026536,Allow all users (no expiry set),83566,27 February 2011,Andreafaye171,313,0,2011-02-27,2011-02,2011
10,Climate change adaptation,https://en.wikipedia.org/wiki/Climate_change_adaptation,140,45,27,5,18,14,0,3,0.1928571429,0.03571428571,0.1,0.3214285714,0.1285714286,0.6785714286,4607152,Allow all users (no expiry set),95703,2 April 2006,Pseudo-Richard,1544,4,2006-04-02,2006-04,2006
11,Climate change feedback,https://en.wikipedia.org/wiki/Climate_change_feedback,103,45,9,11,8,8,0,7,0.08737864078,0.1067961165,0.07766990291,0.4368932039,0.07766990291,0.7087378641,26198824,Allow all users (no expiry set),75482,14 February 2010,Shock Brigade Harvester Boris,454,3,2010-02-14,2010-02,2010
12,Climate change and fisheries,https://en.wikipedia.org/wiki/Climate_change_and_fisheries,58,22,19,4,1,4,0,1,0.3275862069,0.06896551724,0.06896551724,0.3793103448,0.01724137931,0.7931034483,25279689,Allow all users (no expiry set),34567,2 December 2009,Kieran Kelleher,262,12,2009-12-02,2009-12,2009
13,Extinction risk from climate change,https://en.wikipedia.org/wiki/Extinction_risk_from_climate_change,45,16,5,3,1,16,0,1,0.1111111111,0.06666666667,0.3555555556,0.3555555556,0.02222222222,0.5555555556,9068275,Allow all users (no expiry set),29648,23 January 2007,The Cunctator,457,8,2007-01-23,2007-01,2007
14,Effects of climate change on island nations,https://en.wikipedia.org/wiki/Effects_of_climate_change_on_island_nations,30,4,6,3,0,12,0,0,0.2,0.1,0.4,0.1333333333,0,0.4333333333,49557688,Allow all users (no expiry set),23406,26 February 2016,OLucier,141,0,2016-02-26,2016-02,2016
15,Economic impacts of climate change,https://en.wikipedia.org/wiki/Economic_impacts_of_climate_change,50,10,8,0,22,7,0,0,0.16,0,0.14,0.2,0.44,0.8,27447324,Allow all users (no expiry set),59332,23 May 2010,Enescot,219,3,2010-05-23,2010-05,2010
16,Climate change and poverty,https://en.wikipedia.org/wiki/Climate_change_and_poverty,39,8,10,2,2,4,0,2,0.2564102564,0.05128205128,0.1025641026,0.2051282051,0.05128205128,0.5641025641,29872326,Allow all users (no expiry set),44952,3 December 2010,Slin2264,470,0,2010-12-03,2010-12,2010
17,Climate change scenario,https://en.wikipedia.org/wiki/Climate_change_scenario,58,7,14,6,11,3,0,0,0.2413793103,0.1034482759,0.05172413793,0.1206896552,0.1896551724,0.6551724138,27447253,Allow all users (no expiry set),50217,23 May 2010,Enescot,76,8,2010-05-23,2010-05,2010
18,Climate change in Africa,https://en.wikipedia.org/wiki/Climate_change_in_Africa,171,56,45,5,10,9,0,0,0.2631578947,0.02923976608,0.05263157895,0.3274853801,0.05847953216,0.6783625731,34335892,Allow all users (no expiry set),107540,10 January 2012,Watti Renew,365,11,2012-01-10,2012-01,2012
19,Climate change and cities,https://en.wikipedia.org/wiki/Climate_change_and_cities,62,27,16,0,3,4,0,1,0.2580645161,0,0.06451612903,0.435483871,0.04838709677,0.7419354839,65816420,Allow all users (no expiry set),47988,11 November 2020,Sadads,152,0,2020-11-11,2020-11,2020
20,Climate change in the United States,https://en.wikipedia.org/wiki/Climate_change_in_the_United_States,194,30,41,36,2,59,0,9,0.2113402062,0.1855670103,0.3041237113,0.1546391753,0.01030927835,0.5618556701,18246585,Allow all users (no expiry set),123044,2 July 2008,Mac,1378,11,2008-07-02,2008-07,2008
