,name of site,numbertimescited
8,epa.gov,195
438,mass.gov,147
53,gov,130
7,nps.gov,112
14,bom.gov,110
87,cdc.gov,100
252,census.gov,96
78,nhc.noaa.gov,89
25,metoffice.gov,72
66,cia.gov,55
26,nasa.gov,53
2,ncdc.noaa.gov,51
281,gbrmpa.gov,46
75,congress.gov,46
6,climatescience.gov,39
90,aoml.noaa.gov,39
68,mfe.gov,33
127,fws.gov,30
55,eia.gov,28
135,ers.usda.gov,28
18,climatechange.gov,27
194,antarctica.gov,27
15,environment.gov,26
552,info.gov,24
154,weather.gov,20
50,beehive.gov,20
389,bls.gov,18
82,sanders.senate.gov,17
49,sec.gov,17
553,enb.gov,17
21,aph.gov,16
394,rfs.nsw.gov,16
182,nmfs.noaa.gov,16
266,crh.noaa.gov,16
191,senate.gov,15
67,esrl.noaa.gov,14
64,arb.ca.gov,14
0,climate.gov,14
24,hm-treasury.gov,14
479,kaine.senate.gov,14
36,usgs.gov,13
57,nsf.gov,13
211,fiji.gov,13
43,whitehouse.gov,12
88,loc.gov,12
162,srh.noaa.gov,12
175,ga.gov,12
137,wpc.ncep.noaa.gov,12
31,noaa.gov,11
118,gao.gov,11
104,eia.doe.gov,11
77,imd.gov,11
38,ncbi.nlm.nih.gov,11
363,irs.gov,10
59,fema.gov,10
96,ambiente.gov,10
289,epd.gov,10
40,dec.ny.gov,10
615,rsmcnewdelhi.imd.gov,9
185,environment.nsw.gov,9
173,usda.gov,9
151,cbo.gov,9
444,statsfiji.gov,9
105,ecy.wa.gov,8
4,gfdl.noaa.gov,8
170,abs.gov,8
420,dhs.gov,8
147,water.ca.gov,8
141,noaanews.noaa.gov,8
111,colorado.gov,7
227,doi.gov,7
277,spc.noaa.gov,7
491,ok.gov,7
79,state.gov,7
10,fs.usda.gov,7
41,nifc.gov,7
44,energy.gov,7
360,federalreserve.gov,7
372,fda.gov,7
63,energy.ca.gov,7
606,dmp.wa.gov,6
92,legislation.gov,6
