,name of site,numbertimescited
0,nasa.gov,69
15,www.epa.gov,60
1,ipcc-wg2.gov,54
13,www.climatewatch.noaa.gov,43
10,www.ncdc.noaa.gov,40
3,downloads.globalchange.gov,32
4,www.gfdl.noaa.gov,25
23,www.globalchange.gov,24
11,www.climatescience.gov,19
6,science2017.globalchange.gov,9
27,www.hm-treasury.gov,9
25,www.esrl.noaa.gov,9
19,www.noaanews.noaa.gov,8
28,purl.fdlp.gov,7
26,www.metoffice.gov,7
9,www.arctic.noaa.gov,5
29,webarchive.loc.gov,4
7,oceanservice.noaa.gov,4
18,yosemite.epa.gov,4
21,www.cdc.gov,3
31,www.usgs.gov,3
16,www2.metoffice.gov,3
17,www.usgcrp.gov,3
22,newscenter.lbl.gov,2
20,www.dh.gov,2
24,downloads.climatescience.gov,1
14,www.nifc.gov,1
12,www.climate.gov,1
8,pubs.usgs.gov,1
5,www1.ncdc.noaa.gov,1
30,globalchange.gov,1
2,pubmed.ncbi.nlm.nih.gov,1
32,www.energy.gov,1
