,name of site,numbertimescited
7,npr.org,199
337,wbur.org,158
17,fao.org,136
11,un.org,114
37,webcitation.org,101
50,imf.org,75
18,pbs.org,67
0,carbonbrief.org,65
82,unep.org,52
31,iea.org,50
43,sciencemag.org,48
75,eib.org,48
42,jstor.org,47
38,worldcat.org,43
83,worldbank.org,39
332,commondreams.org,36
173,greenpeace.org,33
1,weforum.org,32
46,unicef.org,28
5,ucsusa.org,28
76,undp.org,28
195,worldwildlife.org,26
72,pewresearch.org,26
10,sciencenews.org,24
96,aip.org,23
19,iucn.org,22
16,unenvironment.org,21
1473,theelders.org,20
542,eoearth.org,19
29,wri.org,19
88,adaptation-undp.org,19
3,nrdc.org,18
14,oecd.org,18
500,democracynow.org,17
168,hrw.org,17
15,c2es.org,17
366,iucnredlist.org,17
333,ontheissues.org,17
241,climatelinks.org,16
486,susana.org,16
995,heritage.org,16
550,heartland.org,16
100,audubon.org,16
1669,torreyaguardians.org,15
571,c-span.org,15
509,propublica.org,15
212,sprep.org,15
86,adb.org,15
845,reef.crc.org,15
40,realclimate.org,15
175,theccc.org,15
90,odi.org,14
926,pewforum.org,14
209,ifpri.org,14
1705,presscouncil.org,14
445,earth-policy.org,14
308,act.org,14
763,cfr.org,13
1273,independent.org,13
468,eurekalert.org,13
351,rferl.org,13
439,garnautreview.org,13
383,ohchr.org,13
89,iwmi.cgiar.org,13
4,texastribune.org,12
47,climatecentral.org,12
272,unesco.org,12
189,drawdown.org,12
105,aaas.org,12
135,mediamatters.org,12
138,opensecrets.org,12
161,irena.org,12
253,nationalgeographic.org,11
493,cato.org,11
2,unhcr.org,11
26,nobelprize.org,10
133,sierraclub.org,10
538,torro.org,10
302,wwf.org,10
527,cifor.org,10
492,cjr.org,10
73,climatewatchdata.org,10
112,aps.org,9
487,wateraid.org,9
297,edf.org,9
1385,jta.org,9
141,documentcloud.org,9
478,biologicaldiversity.org,9
348,ilo.org,9
167,iisd.org,9
44,millenniumassessment.org,8
451,nature.org,8
134,csicop.org,8
1042,knowledgebank.irri.org,8
686,ramsar.org,8
357,chathamhouse.org,8
124,agu.org,8
193,worldwatch.org,8
202,world-nuclear.org,8
142,apa.org,8
1574,globaljustice.org,8
1677,cwf-fcf.org,8
32,panda.org,7
51,irri.org,7
399,refworld.org,7
916,opencongress.org,7
23,gutenberg.org,7
149,wbcsd.org,7
136,ametsoc.org,7
1146,env-health.org,7
882,polarbearsinternational.org,7
186,science.org,7
95,unisdr.org,7
162,worldweatherattribution.org,7
176,greenfacts.org,7
104,cambridge.org,7
640,unwater.org,7
194,resilience.org,7
1742,worldwater.org,6
765,factcheck.org,6
735,irrawaddy.org,6
714,mprnews.org,6
39,nwf.org,6
516,bioversityinternational.org,6
116,royalsociety.org,6
84,pnas.org,6
1030,libdems.org,6
102,geosociety.org,6
263,nasonline.org,6
213,pacificclimatechangescience.org,6
224,alertnet.org,6
461,birdlife.org,6
